geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.4554230541,-99.1457906296",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.4011587376,-99.1588058018",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
"19.2904706475,-99.0684516178",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.2410529133,-99.1261837973",Socio Organizativo,N/D,Alto,Xochimilco,4.0
"19.3894597668,-99.1757474139",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.290202584,-99.0532306325",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.2823351755,-99.0517946027",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.3846646976,-99.0982056835",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.3986985658,-99.0643414792",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.2900621746,-99.1274741866",Hidrometeorológicos,Inundaciones,Muy Alto,Tlalpan,5.0
"19.2900822207,-99.0129480385",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.283766904,-99.0630873307",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.2474330649,-98.9963083949",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4108554501,-99.0664314109",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.3591762607,-99.1038076435",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2889854812,-99.1248207893",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.2689032568,-98.9982032436",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.2771922614,-99.028409051",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.2904907708,-99.03863972",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.2844041375,-99.0091059239",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4935520756,-99.1010195529",Socio Organizativo,N/D,Muy Alto,Gustavo A. Madero,5.0
"19.290202584,-99.0532306325",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3761554664,-99.1512234501",Geológicos,Sísmico,Muy Alto,Benito Juárez,5.0
